Trade	MktID	MarketName	TradableMnth	Weight	Slpg	Open	Close	CtCnt	Settle	BB	RIC	Tm1	Tm2	EnEndAdj	ExOT	ExPeriod	RebBegin	RebEnd	longMult	shortMult	TradeDir	longMult	shortMult	longShort	long	short	IBRoot	IBExch	OpenReg	URic	UIB	UR2NIntra	URNEX2d	UEm	Note	ProdWithAsian	longShort	longOnly	shortOnly	Note
Y	3210	MXN/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	PEA Curncy	MP	12:30	12:30	20	Vwap	10	09:10	10:10	1	0.7	0	1.6	0.6	Y	Y	Y	MXP	GLOBEX		Y	Y	N	N	N		N	0.7	1.6	0.6	
Y	3212	NZD/USD@CME	[001001001001]	1	0.01%	17:00	16:00	8	14:00	NVA Curncy	NE	12:00	16:00	20	Vwap	10	02:10	05:10	0	1.7	-1		0.8	N	N	Y	NZD	GLOBEX		Y	Y	Y	Y	Y		Y	1.4	1.4	0.8	
Y	3502	Euro Stoxx 50@EUX	[001001001001]	1	0.01%	08:00	22:05	8	17:30	VGA Index	STXE	12:30	22:00	20	Vwap	10	08:20	09:20	0.9	0	0	1.45	1.15	Y	Y	Y	ESTX50	DTB		Y	Y	N	Y	N		N	0.7	0.7	1.25	
Y	3506	Russell 2000 Mini@NYF	[001001001001]	1	0.03%	20:00	18:00	8	16:15	RTAA Index	TFS	12:00	12:00	20	Vwap	10	09:00	11:00	0.55	0	0						TF	NYBOT	20:00	Y	Y	Y	Y	N		Y				
Y	3510	Hang Seng China Enterprises@HKG	[111111111111]	1	0.03%	09:15	16:30	8	16:15	HCA Index	HCEI	13:30	16:30	20	Vwap	10	09:25	10:25	0	1.5	0	1.2	1.1	Y	Y	Y	HHI.HK	HKFE		Y	Y	Y	Y	N		N	1.15	1.2	1.1	
Y	3511	DAX Index@EUX	[001001001001]	1	0.03%	08:00	22:05	8	17:30	GXA Index	FDX	12:30	17:30	20	Vwap	10	09:10	10:10	1.2	0	-1		1.4	N	N	Y	DAX	DTB		Y	Y	Y	Y	N		Y	0.75	0.75	1.4	
Y	3514	FTSE 100@LIF	[001001001001]	1	0.03%	01:00	21:00	8	16:30	Z A Index	FFI	12:30	16:35	20	Vwap	10	07:10	08:10	1.55	0	0	1.85	1.65	Y	Y	Y	Z	ICEEU		Y	Y	N	N	Y		N	1.55	1.55	1.65	
Y	3515	Hang Seng@HKG	[111111111111]	1	0.03%	09:15	16:30	8	16:15	HIA Index	HSI	16:15	16:15	20	Vwap	10	09:20	10:20	1.4	0	0	0.55	0.7	Y	Y	Y	HSI	HKFE		Y	Y	Y	Y	N		N	0.55	0.55	0.7	short sr 2.84
Y	3516	MSCI Taiwan@SGX	[111111111111]	1	0.03%	08:45	13:50	8	13:45	TWA Index	STW	12:00	13:45	20	Vwap	10	09:00	10:00	2.5	0	0						STW	SGX		Y	Y	N	Y	N		N				Vwap failed without rejection during aution period 13:45--13:50 sometimes
Y	3518	CNX Nifty @SGX	[111111111111]	1	0.03%	09:00	18:15	8	18:10	IHA Index	SIN	12:00	18:10	20	Vwap	10	11:40	12:40	1.6	1.9	0	0.7	1.25	Y	Y	Y	NIFTY	SGX		Y	Y	N	N	N		N	0.7	0.7	1.15	
Y	3519	Nikkei 225@CME	[001001001001]	1	0.03%	17:00	16:00	8	15:15	NHA Index	NIY	12:00	15:15	20	Vwap	10	18:00	20:00	0	1.6	0						NIY	GLOBEX		Y	Y	N	Y	N		N				
Y	3524	MSCI Singapore@SGX	[111111111111]	1	0.03%	08:30	17:10	8	17:05	QZA Index	SSG	12:00	17:05	20	Vwap	10	08:50	09:50	1.75	0	1	0.75	0.65	N	Y	N	SSG	SGX		Y	Y	N	N	N		N	0.55	0.55	0.65	strange volume pattern
Y	3527	MSCI Emerging Market@NYL	[001001001001]	1	0.03%	18:00	17:59	8	16:15	MESA Index	MEM	12:00	16:15	20	Vwap	10	09:45	10:45	0	2.5	0						MXEF	NYSELIFFE		Y	Y	N	N	N		N				
Y	3528	ASX SPI 200@SFE	[001001001001]	1	0.03%	09:50	16:30	8	16:30	XPA Index	YAP	12:00	16:30	20	Vwap	10	10:10	11:10	1.2	0	1	0.85		N	Y	N	SPI	SNFE		Y	Y	N	N	N		N	1.1	0.65		
Y	3535	SP Toronto 60@MSE	[001001001001]	1	0.03%	06:00	16:15	8	15:00	PTA Index	SXF	15:00	16:15	20	Vwap	10	09:40	10:40	1.85	0	1	0.65		N	Y	N	TSE60	CDE	06:00	Y	Y	N	Y	N		N	0.65	0.65		"SST not work with timequeue, CMKT, STP not supported"
